Date,Artist,Song,Rank,Year,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artists_list,artist_norm_track,artist_canon,name_norm
1964-03-18,The Beatles,Twist And Shout,7,1964,5ZBeML7Lf3FMEVviTyvi8l,Twist And Shout - Remastered 2009,75.0,155227.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],1963-03-22,0.482,0.849,2.0,-9.198,1.0,0.0452,0.641,7.74e-06,0.0414,0.937,124.631,4.0,The Beatles,beatles,beatles,twist and shout
1964-03-18,The Beatles,I Saw Her Standing There,14,1964,3KiexfmhxHvG5IgAElmTkd,I Saw Her Standing There - Remastered 2009,70.0,173947.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],1963-03-22,0.491,0.801,4.0,-9.835,1.0,0.0361,0.27,0.0,0.0665,0.971,160.109,4.0,The Beatles,beatles,beatles,i saw her standing there
1964-03-18,The Beatles,From Me To You,58,1964,1euKWJfJSfPhgSendPrcXb,From Me To You - Mono / Remastered,59.0,116160.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],2000-11-13,0.581,0.821,0.0,-4.387,1.0,0.0318,0.507,0.0,0.108,0.968,136.145,4.0,The Beatles,beatles,beatles,from me to you
1964-03-18,The Beatles,Roll Over Beethoven,79,1964,3idqWaBn3mRdsIodCU6uBi,Roll Over Beethoven - Remastered 2009,59.0,165467.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],1963-11-22,0.351,0.749,2.0,-9.435,1.0,0.0628,0.289,0.0,0.0952,0.967,160.673,4.0,The Beatles,beatles,beatles,roll over beethoven
1964-03-25,The Beatles,She Loves You,1,1964,6nEkxYIEnrbYH7h1hJ8Xn6,She Loves You - Mono / Remastered,67.0,140920.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],2000-11-13,0.377,0.916,4.0,-3.199,0.0,0.0481,0.26,0.0,0.074,0.912,75.533,4.0,The Beatles,beatles,beatles,she loves you
1964-03-25,The Beatles,I Want To Hold Your Hand,2,1964,4pbG9SUmWIvsROVLF0zF9s,I Want To Hold Your Hand - Remastered 2015,73.0,145747.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],2000-11-13,0.49,0.715,7.0,-5.549,1.0,0.0476,0.386,0.0,0.311,0.866,130.726,4.0,The Beatles,beatles,beatles,i want to hold your hand
1964-03-25,The Beatles,Twist And Shout,3,1964,5ZBeML7Lf3FMEVviTyvi8l,Twist And Shout - Remastered 2009,75.0,155227.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],1963-03-22,0.482,0.849,2.0,-9.198,1.0,0.0452,0.641,7.74e-06,0.0414,0.937,124.631,4.0,The Beatles,beatles,beatles,twist and shout
1964-03-25,The Beatles,Please Please Me,4,1964,6EHuOufBeL6vk3TvVJB5qo,Please Please Me - Remastered 2009,62.0,120853.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],1963-03-22,0.527,0.48,4.0,-9.61,1.0,0.028,0.334,0.0,0.0702,0.706,139.388,4.0,The Beatles,beatles,beatles,please please me
1964-03-25,The Beatles,I Saw Her Standing There,26,1964,3KiexfmhxHvG5IgAElmTkd,I Saw Her Standing There - Remastered 2009,70.0,173947.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],1963-03-22,0.491,0.801,4.0,-9.835,1.0,0.0361,0.27,0.0,0.0665,0.971,160.109,4.0,The Beatles,beatles,beatles,i saw her standing there
1964-03-25,The Beatles,Can't Buy Me Love,27,1964,3SdingSsFcZDZAyvcJbgAw,Can't Buy Me Love - Remastered 2009,66.0,131867.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],1964-07-10,0.483,0.677,0.0,-5.91,1.0,0.0593,0.283,0.0,0.321,0.842,170.72,4.0,The Beatles,beatles,beatles,can t buy me love
1964-03-25,The Beatles,From Me To You,50,1964,1euKWJfJSfPhgSendPrcXb,From Me To You - Mono / Remastered,59.0,116160.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],2000-11-13,0.581,0.821,0.0,-4.387,1.0,0.0318,0.507,0.0,0.108,0.968,136.145,4.0,The Beatles,beatles,beatles,from me to you
1964-03-25,The Beatles,All My Loving,71,1964,4joiWvli4qJVEW6qZV2i2J,All My Loving - Remastered 2009,69.0,127853.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],1963-11-22,0.416,0.563,1.0,-8.724,0.0,0.0298,0.207,0.0,0.343,0.9,77.56,4.0,The Beatles,beatles,beatles,all my loving
1964-03-25,The Beatles,Roll Over Beethoven,75,1964,3idqWaBn3mRdsIodCU6uBi,Roll Over Beethoven - Remastered 2009,59.0,165467.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],1963-11-22,0.351,0.749,2.0,-9.435,1.0,0.0628,0.289,0.0,0.0952,0.967,160.673,4.0,The Beatles,beatles,beatles,roll over beethoven
1964-03-25,The Beatles,Do You Want To Know A Secret,78,1964,7Aobt67JnaF7qN8jCCKvHq,Do You Want To Know A Secret - Remastered 2009,62.0,117013.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],1963-03-22,0.673,0.349,4.0,-12.414,1.0,0.0368,0.608,0.0,0.38,0.609,124.451,4.0,The Beatles,beatles,beatles,do you want to know a secret
1964-04-01,The Beatles,Can't Buy Me Love,1,1964,3SdingSsFcZDZAyvcJbgAw,Can't Buy Me Love - Remastered 2009,66.0,131867.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],1964-07-10,0.483,0.677,0.0,-5.91,1.0,0.0593,0.283,0.0,0.321,0.842,170.72,4.0,The Beatles,beatles,beatles,can t buy me love
1964-04-01,The Beatles,Twist And Shout,2,1964,5ZBeML7Lf3FMEVviTyvi8l,Twist And Shout - Remastered 2009,75.0,155227.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],1963-03-22,0.482,0.849,2.0,-9.198,1.0,0.0452,0.641,7.74e-06,0.0414,0.937,124.631,4.0,The Beatles,beatles,beatles,twist and shout
1964-04-01,The Beatles,She Loves You,3,1964,6nEkxYIEnrbYH7h1hJ8Xn6,She Loves You - Mono / Remastered,67.0,140920.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],2000-11-13,0.377,0.916,4.0,-3.199,0.0,0.0481,0.26,0.0,0.074,0.912,75.533,4.0,The Beatles,beatles,beatles,she loves you
1964-04-01,The Beatles,I Want To Hold Your Hand,4,1964,4pbG9SUmWIvsROVLF0zF9s,I Want To Hold Your Hand - Remastered 2015,73.0,145747.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],2000-11-13,0.49,0.715,7.0,-5.549,1.0,0.0476,0.386,0.0,0.311,0.866,130.726,4.0,The Beatles,beatles,beatles,i want to hold your hand
1964-04-01,The Beatles,Please Please Me,5,1964,6EHuOufBeL6vk3TvVJB5qo,Please Please Me - Remastered 2009,62.0,120853.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],1963-03-22,0.527,0.48,4.0,-9.61,1.0,0.028,0.334,0.0,0.0702,0.706,139.388,4.0,The Beatles,beatles,beatles,please please me
1964-04-01,The Beatles,I Saw Her Standing There,31,1964,3KiexfmhxHvG5IgAElmTkd,I Saw Her Standing There - Remastered 2009,70.0,173947.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],1963-03-22,0.491,0.801,4.0,-9.835,1.0,0.0361,0.27,0.0,0.0665,0.971,160.109,4.0,The Beatles,beatles,beatles,i saw her standing there
1964-04-01,The Beatles,From Me To You,41,1964,1euKWJfJSfPhgSendPrcXb,From Me To You - Mono / Remastered,59.0,116160.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],2000-11-13,0.581,0.821,0.0,-4.387,1.0,0.0318,0.507,0.0,0.108,0.968,136.145,4.0,The Beatles,beatles,beatles,from me to you
1964-04-01,The Beatles,Do You Want To Know A Secret,46,1964,7Aobt67JnaF7qN8jCCKvHq,Do You Want To Know A Secret - Remastered 2009,62.0,117013.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],1963-03-22,0.673,0.349,4.0,-12.414,1.0,0.0368,0.608,0.0,0.38,0.609,124.451,4.0,The Beatles,beatles,beatles,do you want to know a secret
1964-04-01,The Beatles,All My Loving,58,1964,4joiWvli4qJVEW6qZV2i2J,All My Loving - Remastered 2009,69.0,127853.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],1963-11-22,0.416,0.563,1.0,-8.724,0.0,0.0298,0.207,0.0,0.343,0.9,77.56,4.0,The Beatles,beatles,beatles,all my loving
